"date","Year","DOY","Plot","rotation","N2O_non_gapfill","N2O_gapfill","N2O_gapfill_kean_Nicole"
"2015-04-11",2015,101,"P2","Urea",NA,0,NA
"2015-04-11",2015,101,"P3","UAN+NUI",NA,0,NA
"2015-04-11",2015,101,"P4","UAN",NA,0,NA
"2015-04-12",2015,102,"P1","Urea+NUI",NA,NA,NA
"2015-04-12",2015,102,"P2","Urea",NA,0,NA
"2015-04-12",2015,102,"P3","UAN+NUI",NA,0,NA
"2015-04-12",2015,102,"P4","UAN",NA,0,NA
"2015-04-13",2015,103,"P1","Urea+NUI",NA,NA,NA
"2015-04-13",2015,103,"P2","Urea",NA,0,NA
"2015-04-13",2015,103,"P3","UAN+NUI",NA,0,NA
"2015-04-13",2015,103,"P4","UAN",NA,0,NA
"2015-04-14",2015,104,"P1","Urea+NUI",NA,NA,NA
"2015-04-14",2015,104,"P2","Urea",NA,0,NA
"2015-04-14",2015,104,"P3","UAN+NUI",NA,0,NA
"2015-04-14",2015,104,"P4","UAN",NA,0,NA
"2015-04-15",2015,105,"P1","Urea+NUI",NA,NA,NA
"2015-04-15",2015,105,"P2","Urea",NA,0,NA
"2015-04-15",2015,105,"P3","UAN+NUI",NA,0,NA
"2015-04-15",2015,105,"P4","UAN",NA,0,NA
"2015-04-16",2015,106,"P1","Urea+NUI",NA,NA,NA
"2015-04-16",2015,106,"P2","Urea",NA,0,NA
"2015-04-16",2015,106,"P3","UAN+NUI",NA,0,NA
"2015-04-16",2015,106,"P4","UAN",NA,0,NA
"2015-04-17",2015,107,"P1","Urea+NUI",NA,NA,NA
"2015-04-17",2015,107,"P2","Urea",NA,0,NA
"2015-04-17",2015,107,"P3","UAN+NUI",NA,0,NA
"2015-04-17",2015,107,"P4","UAN",NA,0,NA
"2015-04-18",2015,108,"P1","Urea+NUI",NA,NA,NA
"2015-04-18",2015,108,"P2","Urea",NA,0,NA
"2015-04-18",2015,108,"P3","UAN+NUI",NA,0,NA
"2015-04-18",2015,108,"P4","UAN",NA,0,NA
"2015-04-19",2015,109,"P1","Urea+NUI",NA,NA,NA
"2015-04-19",2015,109,"P2","Urea",NA,0,NA
"2015-04-19",2015,109,"P3","UAN+NUI",NA,0,NA
"2015-04-19",2015,109,"P4","UAN",NA,0,NA
"2015-04-20",2015,110,"P1","Urea+NUI",NA,NA,NA
"2015-04-20",2015,110,"P2","Urea",NA,0,NA
